filepath,module,classification,severity_table_format,severity_table_rows,bst_schema,total,critical,major,medium,minor,trivial,closed,open,defer,withdrawn,status_unknown,severity_unknown,sev_sum_match,closed_open_match,sev_table_match_bst
output/qa-reports/round7-2026-05-06/bug-reports/bao-cao/Pass-bug-report-r7-5-4-bc-export.md,bao-cao,A,6-col,1,8-col-full,3,1,0,0,2,0,3,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/bao-cao/bug-report-r7-7-13-bao-cao.md,bao-cao,B,absent,0,8-col-full,9,2,3,2,2,0,5,2,0,1,1,0,True,False,
output/qa-reports/round7-2026-05-06/bug-reports/bm/Pass-bug-report-flow-bm-r7-4-c1.md,bm,A,6-col,1,8-col-full,6,2,2,2,0,0,6,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/bm/Pass-bug-report-function-bm-r7-7-10.md,bm,A,6-col,1,8-col-full,3,1,0,2,0,0,3,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/bm/Pass-bug-report-r7-7-10b-bm.md,bm,A,6-col,1,8-col-full,1,0,0,1,0,0,1,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/chi-tra/Pass-bug-report-flow-chi-tra.md,chi-tra,C,6-col,1,8-col-full,7,0,1,2,3,0,7,0,0,0,0,1,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/chi-tra/bug-report-r7-7-12-2-fr14-bo-sung.md,chi-tra,C,6-col,1,8-col-full,3,0,2,0,1,0,0,2,1,0,0,0,True,False,True
output/qa-reports/round7-2026-05-06/bug-reports/cross-cutting/Pass-bug-report-audit-r7-8-2-upload-security.md,cross-cutting,A,6-col,1,8-col-full,1,0,1,0,0,0,1,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/cross-cutting/bug-report-r7-7-16-api-deploy-gap.md,cross-cutting,C,6-col,1,8-col-full,2,1,1,0,0,0,0,0,2,0,0,0,True,False,True
output/qa-reports/round7-2026-05-06/bug-reports/cross-cutting/bug-report-r7-8-7-e2e-seam-gaps.md,cross-cutting,A,6-col,1,8-col-full,3,1,0,1,1,0,1,2,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/ct-htpldn/Pass-bug-report-audit-r7-8-3-luu-nhap-button.md,ct-htpldn,A,6-col,1,8-col-full,2,0,1,1,0,0,2,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/ct-htpldn/Pass-bug-report-flow-cthtpldn-gd2.md,ct-htpldn,C,unknown,4,8-col-full,2,0,1,0,1,0,2,0,0,0,0,0,True,True,
output/qa-reports/round7-2026-05-06/bug-reports/ct-htpldn/Pass-bug-report-flow-cthtpldn.md,ct-htpldn,C,unknown,4,8-col-full,4,0,2,0,2,0,4,0,0,0,0,0,True,True,
output/qa-reports/round7-2026-05-06/bug-reports/danh-gia/bug-report-flow-danhgia.md,danh-gia,A,6-col,1,8-col-full,15,3,7,4,1,0,12,3,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/dao-tao/Pass-bug-report-bai-giang-r7-3-10.md,dao-tao,A,6-col,1,8-col-full,1,0,1,0,0,0,1,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/dao-tao/Pass-bug-report-r7-3-12-hoc-vien-deploy-partial.md,dao-tao,B,absent,0,unknown,3,0,2,1,0,0,1,0,0,0,2,0,True,False,
output/qa-reports/round7-2026-05-06/bug-reports/dao-tao/Pass-bug-report-r7-4-b0-jwt-revoke.md,dao-tao,A,6-col,1,8-col-full,3,1,1,0,1,0,3,0,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/dao-tao/Pass-bug-report-r7-4-b10-dkt-fe-regression.md,dao-tao,B,absent,0,8-col-full,1,0,1,0,0,0,1,0,0,0,0,0,True,True,
output/qa-reports/round7-2026-05-06/bug-reports/dao-tao/Pass-bug-report-r7-4-b10-dkt-form-modal.md,dao-tao,B,absent,0,8-col-full,2,0,2,0,0,0,2,0,0,0,0,0,True,True,
output/qa-reports/round7-2026-05-06/bug-reports/dao-tao/Pass-bug-report-r7-4-b12-lich-hoc-validation.md,dao-tao,B,absent,0,unknown,4,0,2,0,2,0,4,0,0,0,0,0,True,True,
output/qa-reports/round7-2026-05-06/bug-reports/dao-tao/Pass-bug-report-r7-7-6-dt004-form-missing-gv.md,dao-tao,B,absent,0,unknown,2,0,2,0,0,0,2,0,0,0,0,0,True,True,
output/qa-reports/round7-2026-05-06/bug-reports/dao-tao/Pass-bug-report-seed-r7-3-6-ctdt.md,dao-tao,B,absent,0,8-col-full,2,0,2,0,0,0,2,0,0,0,0,0,True,True,
output/qa-reports/round7-2026-05-06/bug-reports/dao-tao/Pass-bug-report-seed-r7-3-9-dkt-nhch.md,dao-tao,B,absent,0,8-col-full,2,0,1,1,0,0,2,0,0,0,0,0,True,True,
output/qa-reports/round7-2026-05-06/bug-reports/dao-tao/bug-report-r7-7-6-chuyen-trang-vpd-inbound.md,dao-tao,A,6-col,1,8-col-full,2,0,2,0,0,0,0,2,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/dao-tao/bug-report-r7-7-6-dt038-baigiang-assign-missing.md,dao-tao,A,6-col,1,8-col-full,1,0,1,0,0,0,0,1,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/dao-tao/bug-report-r7-7-6-dt053-public-modal-missing-cpf.md,dao-tao,A,6-col,1,8-col-full,1,0,0,0,1,0,0,1,0,0,0,0,True,True,True
output/qa-reports/round7-2026-05-06/bug-reports/dao-tao/bug-report-r7-7-6-hv-deps.md,dao-tao,B,absent,0,unknown,3,0,2,0,1,0,0,3,0,0,0,0,True,True,
output/qa-reports/round7-2026-05-06/bug-reports/dao-tao/bug-report-seed-r7-3-5-kh-nam-r8.md,dao-tao,A,6-col,1,8-col-full,3,0,2,1,0,0,2,1,0,0,0,0,True,True,True
